TIME                           PID  UID  GID SIG     COREFILE EXE                                                SIZE
Sat 2023-04-15 17:59:30 AEST 29545 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 17:59:40 AEST 29634 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 17:59:48 AEST 29718 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 17:59:52 AEST 29774 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 18:00:01 AEST 29912 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 18:00:07 AEST 29965 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-15 18:00:13 AEST 30021 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 08:32:39 AEST  3357 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 08:32:57 AEST  3483 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 08:33:01 AEST  3566 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 08:34:47 AEST  3736 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 08:34:55 AEST  3821 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 08:36:00 AEST  3959 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 08:50:51 AEST  7049 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 08:55:05 AEST  7907 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:38:05 AEST  9680 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:38:15 AEST  9784 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:39:18 AEST  9979 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:39:36 AEST 10128 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:39:50 AEST 10280 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:40:39 AEST 10446 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:40:41 AEST 10527 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:40:44 AEST 10582 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:40:48 AEST 10636 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:41:02 AEST 10709 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:41:09 AEST 10769 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:41:13 AEST 10826 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:41:16 AEST 10882 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:41:23 AEST 10937 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:41:26 AEST 10996 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:46:59 AEST 11892 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:47:13 AEST 11984 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 09:49:58 AEST 12551 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 11:27:40 AEST 24010 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sun 2023-04-16 11:28:25 AEST 24153 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-22 07:36:48 AEST  5551 1000 1000 SIGSEGV missing  /usr/bin/nvim                                         -
Sat 2023-04-22 07:36:53 AEST  5650 1000 1000 SIGSEGV missing  /usr/bin/nvim                                         -
Sat 2023-04-22 08:37:30 AEST   626 1000 1000 SIGSEGV missing  /tmp/.mount_yuzupHaAPs/usr/bin/yuzu                   -
Sat 2023-04-22 13:29:04 AEST  8602 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
